Name,Lat,Lng,Rating,Price_Lev
Mama Carolla's,39.85086,-86.140849,4.7,2
Yats,39.8506202,-86.1455307,4.8,1
The Jazz Kitchen,39.85084130000000,-86.14558250000000,4.7,2
Twenty Tap,39.8513015,-86.1461235,4.7,2
Good Morning Mama's Cafe,39.8507848,-86.14133200000000,4.5,2
Napolese Pizzeria,39.84282600000000,-86.154172,4.5,2
Aristocrat Pub & Restaurant,39.8472823,-86.14601570000000,4.5,2
Delicia,39.84737780000000,-86.14527970000000,4.6,2
Diavola,39.8513889,-86.1388889,4.6,2
Greek's Pizzeria,39.8430316,-86.1453992,4.6,2
Mississippi Belle,39.8516667,-86.1253333,4.2,2
Sam's Gyros,39.85118300000000,-86.146087,4.2,1
Indy Taco's,39.8520371,-86.1249903,4.5,1
Upland College Ave Tasting Room,39.842644,-86.145888,N/A,1
Fat Dan's Deli,39.85137510000000,-86.14611030000000,4.6,2
Red Key Tavern,39.8467806,-86.1460389,4.6,1
Nicole-Taylor's Pasta and Market,39.851468,-86.139327,N/A,1
Half Liter BBQ & Beer Hall,39.8493489,-86.14144190000000,4.5,2
La Mulita,39.84745140000000,-86.1453136,4.3,2
The Little India restaurant,39.8468203,-86.1461105,N/A,2
The Friendly Tavern,39.9491667,-86.2613889,4.7,2
Subway,39.9560272,-86.0105526,3.5,1
Cobblestone,39.950266,-86.26176990000000,4.6,2
Zionsville Pizzeria,39.94946160000000,-86.2609794,4.4,1
Noah Grant's Grill House & Oyster Bar,39.9508697,-86.26161450000000,4.6,3
Rosie's Place,39.951262,-86.26217610000000,4.6,2
Rush On Main,39.9505274,-86.261922,4.5,2
The Scoop,39.94894380000000,-86.26088760000000,4.6,2
Bub's Burgers and Ice Cream,39.9453111,-86.2603833,4.4,2
Sub 16,39.9450631,-86.2601959,4.7,1
Greek's Pizzeria Zionsville,39.9516125,-86.26229650000000,4.3,2
Papa Murphy's | Take 'N' Bake Pizza,39.9518915,-86.2776305,4.5,1
Books & Brews - Zionsville,39.95180150000000,-86.2781705,4.6,2
Starbucks,39.956124,-86.010162,4.2,2
Happy Kitchen & Sushi Bar,39.9519094,-86.2783649,4.2,2
Rice Cooker,39.94944600000000,-86.27684600000000,4.3,1
McDonald's,39.95757060000000,-86.0106634,3.6,1
Salty Cowboy,39.95075000000000,-86.26094410000000,4.4,2
Convivio Italian Artisan Cuisine - Zionsville,39.951155,-86.2621502,4.7,2
"Curvus - Black Acre Rotisserie, Taproom, and Bourbon Bar",39.9508319,-86.2620791,N/A,2
Texas Roadhouse,39.975525,-86.00299,4.5,2
Greek's Pizzeria of Fishers,39.9571512,-86.0140358,4.4,2
Jet's Pizza,39.9601179,-86.01223880000000,4.4,1
QDOBA Mexican Eats,39.9560574,-86.0108592,4.1,1
Hong Kong Cuisine,39.9722231,-86.00190170000000,3.9,2
BIG MAMA JAMA'S,39.9710672,-86.0088936,N/A,2
Pita Land Grill & Halal Meat Shop,39.96017510000000,-86.0118206,4.3,1
Big Apple Bagels,39.9719611,-86.00192780000000,4.4,1
New York Pizza Garden,39.9722677,-86.0019088,N/A,1
Blaze Pizza,39.95870600000000,-86.01111,4.4,1
Topgolf,39.958392,-86.00465470000000,4.5,2
Puccini's Pizza & Pasta-Fishers,39.9560734,-86.0103298,4.4,2
Smoothie King,39.9575213,-86.0131567,4.6,2
Portillo's Hot Dogs,39.9564802,-86.0047347,4.3,1
Another Broken Egg Cafe,39.95723700000000,-86.01671000000000,4.6,2
LouVino Fishers Restaurant & Wine Bar,39.9570612,-86.01687,4.3,3
The Rathskeller,39.7737737,-86.15030280000000,4.5,2
Buca di Beppo,39.76794800000000,-86.1596935,4.1,2
St. Elmo Steak House,39.76484750000000,-86.1598029,4.7,4
Harry & Izzy's,39.7645564,-86.1596447,4.7,4
Weber Grill Restaurant,39.7676051,-86.1600653,4.2,2
Skyline Club - Indianapolis,39.7704112,-86.16035870000000,N/A,3
Mesh,39.7767191,-86.1461999,4.4,3
The Old Spaghetti Factory,39.7640113,-86.15841670000000,4.4,2
Fogo de Chão Brazilian Steakhouse,39.7667906,-86.1556927,4.6,3
Kilroy's,39.76407510000000,-86.15802030000000,4.3,2
Café Patachou,39.76693960000000,-86.1619453,4.5,2
The Oceanaire Seafood Room,39.7660688,-86.15831210000000,4.5,3
Slippery Noodle Inn,39.76164160000000,-86.1588308,4.5,2
P.F. Chang's,39.76660470000000,-86.1595627,4,2
A&W Restaurant,39.7645907,-86.1591795,3.9,1
Le Peep Downtown Indy,39.7715266,-86.15949360000000,4.2,2
Chatham Tap Mass Ave,39.7766271,-86.1463813,4.6,2
Ruth's Chris Steak House,39.7662717,-86.15953530000000,4.6,4
Indianapolis City Market,39.7685789,-86.15346990000000,4.4,1
FortyFive Degrees,39.77728220000000,-86.14543910000000,4.5,2
Shapiro's Delicatessen,39.756264,-86.15959100000000,4.5,2
The Capital Grille,39.7674064,-86.159195,4.6,4
Iozzo's Garden of Italy,39.754235,-86.159448,4.6,2
Tavern On South,39.7614944,-86.1663528,4.2,2
Buffalo Wild Wings,39.7668338,-86.15761430000000,3.6,2