Location Name,HousingDist,CoWork1Dist,CoWork2Dist,CoWork3Dist,CoWork4Dist,CoWork5Dist
Indy 500,4.0 ,9.4 ,13.8 ,19.8 ,7.7 ,7.1 
Talbot Street Art Fair,2.6 ,4.9 ,17.7 ,15.6 ,1.8 ,2.5 
Indianapolis Indians Baseball Game,1.7 ,7.3 ,18.0 ,22.3 ,1.3 ,1.0 
5 Seconds of Summer Concert,1.8 ,7.4 ,18.1 ,22.4 ,1.3 ,1.3 
Indianapolis CyberSecurity Confrence,3.2 ,3.8 ,15.7 ,14.5 ,3.3 ,3.2 
Gen Con,2.2 ,7.3 ,18.5 ,22.8 ,1.1 ,0.8 
Mama Carolla's,7.4 ,0.2 ,13.9 ,12.1 ,6.7 ,7.3 
The Jazz Kitchen,7.2 ,0.4 ,13.6 ,12.7 ,6.4 ,7.0 
Twenty Tap,7.2 ,0.4 ,13.6 ,12.4 ,6.4 ,7.1 
The Friendly Tavern,17.2 ,14.2 ,0.2 ,19.2 ,17.6 ,17.7 
Convivio Italian Artisan Cuisine - Zionsville,17.3 ,14.3 ,0.0714,19.4 ,17.8 ,17.9 
Delicia,6.9 ,0.4 ,13.9 ,12.4 ,6.1 ,6.8 
Diavola,7.6 ,0.3 ,14.0 ,12.0 ,6.8 ,7.4 
Greek's Pizzeria,6.6 ,0.6 ,14.2 ,12.8 ,5.8 ,6.5 
Fat Dan's Deli,7.2 ,0.4 ,13.6 ,12.4 ,6.4 ,7.1 
Cobblestone,17.2 ,14.2 ,0.1 ,19.3 ,17.7 ,17.8 
Noah Grant's Grill House & Oyster Bar,17.3 ,14.3 ,0.1 ,19.3 ,17.8 ,17.8 
Rosie's Place,17.3 ,14.3 ,0.067,19.4 ,17.8 ,17.9 
The Scoop,17.1 ,14.1 ,0.2 ,19.2 ,17.6 ,17.7 
Books & Brews - Zionsville,18.4 ,15.3 ,1.2 ,20.4 ,18.9 ,19.0 
Smoothie King,21.7 ,11.8 ,13.7 ,0.9 ,20.8 ,21.5 
Another Broken Egg Cafe,21.8 ,12.0 ,13.4 ,1.1 ,21.0 ,21.6 
Fogo de Chão Brazilian Steakhouse,2.1 ,6.3 ,18.3 ,21.5 ,0.3 ,0.8 
Chatham Tap Mass Ave,2.6 ,5.2 ,18.2 ,20.7 ,1.2 ,2.1 
Iozzo's Garden of Italy,2.8 ,7.3 ,19.1 ,22.8 ,1.0 ,0.4 
Good Morning Mama's Cafe,7.4 ,0.2 ,13.9 ,12.1 ,6.6 ,7.3 
IUPUI,0,7.4 ,18.1 ,22.4 ,2.7 ,2.4 